+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|              sys_clk_pin |              sys_clk_pin |                                                      cpu0/datamem0/datamem_reg_0_255_28_28/RAMS64E_A/ADR1|
|              sys_clk_pin |              sys_clk_pin |                                                      cpu0/datamem0/datamem_reg_0_255_28_28/RAMS64E_B/ADR1|
|              sys_clk_pin |              sys_clk_pin |                                                cpu0/datamem0/datamem_reg_23808_24063_25_25/RAMS64E_B/ADR1|
|              sys_clk_pin |              sys_clk_pin |                                                cpu0/datamem0/datamem_reg_23808_24063_25_25/RAMS64E_A/ADR1|
|              sys_clk_pin |              sys_clk_pin |                                                      cpu0/datamem0/datamem_reg_0_255_28_28/RAMS64E_C/ADR1|
|              sys_clk_pin |              sys_clk_pin |                                                      cpu0/datamem0/datamem_reg_0_255_28_28/RAMS64E_C/ADR0|
|              sys_clk_pin |              sys_clk_pin |                                                      cpu0/datamem0/datamem_reg_0_255_28_28/RAMS64E_D/ADR1|
|              sys_clk_pin |              sys_clk_pin |                                                      cpu0/datamem0/datamem_reg_0_255_28_28/RAMS64E_D/ADR0|
|              sys_clk_pin |              sys_clk_pin |                                                      cpu0/datamem0/datamem_reg_0_255_28_28/RAMS64E_A/ADR0|
|              sys_clk_pin |              sys_clk_pin |                                                cpu0/datamem0/datamem_reg_19456_19711_24_24/RAMS64E_A/ADR1|
|              sys_clk_pin |              sys_clk_pin |                                                cpu0/datamem0/datamem_reg_23808_24063_25_25/RAMS64E_A/ADR2|
|              sys_clk_pin |              sys_clk_pin |                                                cpu0/datamem0/datamem_reg_23808_24063_25_25/RAMS64E_B/ADR2|
|              sys_clk_pin |              sys_clk_pin |                                                      cpu0/datamem0/datamem_reg_0_255_28_28/RAMS64E_B/ADR0|
|              sys_clk_pin |              sys_clk_pin |                                                cpu0/datamem0/datamem_reg_23808_24063_25_25/RAMS64E_C/ADR0|
|              sys_clk_pin |              sys_clk_pin |                                                cpu0/datamem0/datamem_reg_24320_24575_25_25/RAMS64E_A/ADR0|
|              sys_clk_pin |              sys_clk_pin |                                                cpu0/datamem0/datamem_reg_19456_19711_24_24/RAMS64E_B/ADR1|
|              sys_clk_pin |              sys_clk_pin |                                                cpu0/datamem0/datamem_reg_24320_24575_25_25/RAMS64E_B/ADR0|
|              sys_clk_pin |              sys_clk_pin |                                                      cpu0/datamem0/datamem_reg_0_255_28_28/RAMS64E_A/ADR3|
|              sys_clk_pin |              sys_clk_pin |                                                      cpu0/datamem0/datamem_reg_0_255_28_28/RAMS64E_B/ADR3|
|              sys_clk_pin |              sys_clk_pin |                                                cpu0/datamem0/datamem_reg_24320_24575_25_25/RAMS64E_C/ADR0|
